"city_key","city_name","incident_code","incident_date","incident_latitude","incident_longitude","incident_address","incident_source_original_type","incident_offense_code","incident_offense","incident_offense_description","incident_offense_detail_description","incident_offense_crime_against","incident_offense_action"
"SFO","San Francisco","103624806244","06-02-2021 11:40:00","37.7635147","-122.4781909","20TH AVE \ IRVING ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at 20TH AVE \ IRVING ST","Property","C"
"SFO","San Francisco","103632906243","06-02-2021 11:40:00","37.8069629","-122.4104976","STOCKTON ST \ NORTH POINT ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at STOCKTON ST \ NORTH POINT ST","Property","C"
"SFO","San Francisco","103623065016","06-02-2021 11:41:00","37.7830778","-122.3936181","02ND ST \ BRYANT ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 02ND ST \ BRYANT ST","Person, Property, or Society","C"
"SFO","San Francisco","103623065010","06-02-2021 11:41:00","37.7830778","-122.3936181","02ND ST \ BRYANT ST","Traffic Violation Arrest","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 02ND ST \ BRYANT ST","Person, Property, or Society","C"
"SFO","San Francisco","103623065030","06-02-2021 11:41:00","37.7830778","-122.3936181","02ND ST \ BRYANT ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 02ND ST \ BRYANT ST","Person, Property, or Society","C"
"SFO","San Francisco","103749206244","06-02-2021 11:45:00","37.771396","-122.5098948","FULTON ST \ LA PLAYA","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at FULTON ST \ LA PLAYA","Property","C"
"SFO","San Francisco","103716328150","06-02-2021 11:52:00","37.8063434","-122.4154316","TAYLOR ST \ NORTH POINT ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at TAYLOR ST \ NORTH POINT ST","Property","C"
"SFO","San Francisco","103623865010","06-02-2021 11:57:00","37.7813212","-122.3958436","03RD ST \ BRYANT ST","Traffic Violation Arrest","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 03RD ST \ BRYANT ST","Person, Property, or Society","C"
"SFO","San Francisco","103623865030","06-02-2021 11:57:00","37.7813212","-122.3958436","03RD ST \ BRYANT ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 03RD ST \ BRYANT ST","Person, Property, or Society","C"
"SFO","San Francisco","103623865015","06-02-2021 11:57:00","37.7813212","-122.3958436","03RD ST \ BRYANT ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 03RD ST \ BRYANT ST","Person, Property, or Society","C"
